trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos
0,0,0,72,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,1,1,86,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,2,2,26,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,3,3,41,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,4,4,55,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,5,5,81,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,6,6,39,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,7,7,38,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,8,8,65,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,9,9,27,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,10,10,15,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,11,11,2,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,12,12,22,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,13,13,58,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,14,14,40,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,15,15,10,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,16,16,92,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,17,17,5,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,18,18,78,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,19,19,31,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,20,20,52,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,21,21,21,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,22,22,12,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,23,23,3,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,24,24,46,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,25,25,62,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,26,26,23,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,27,27,74,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,28,28,71,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,29,29,90,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,30,30,48,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,31,31,14,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,32,32,7,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,33,33,49,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,34,34,17,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,35,35,54,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,36,36,30,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,37,37,45,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,38,38,56,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,39,39,79,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,40,40,89,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,41,41,42,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,42,42,34,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,43,43,77,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,44,44,85,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,45,45,9,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,46,46,6,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,47,47,28,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,48,48,33,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,49,49,69,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
0,50,50,1,1,,61633b443e445822fb1f24c9,62c53cd057ad50af44d9d107,2022-07-06_09h50.22.820,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,
